Tracker;Operation on;Type;Occurrences
8;SET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;66
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;934
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;14119
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;2
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;23
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;437
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;94
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;40
8;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;10448
8;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;10157
8;SET_INDEXED;org.graalvm.compiler.nodes.DynamicPiNode;3
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;594
8;GET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;25
8;GET_INDEXED;org.graalvm.collections.list.statistics.NoObject;104097
8;GET_INDEXED;org.graalvm.compiler.nodes.extended.OSRStartNode;403
8;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;645
8;GET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;290
8;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;37
8;GET_INDEXED;org.graalvm.compiler.nodes.StartNode;6473
8;GET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;63
8;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;94
8;GET_INDEXED;org.graalvm.compiler.nodes.FrameState;8557
8;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;19
8;GET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;2913
8;GET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;24586
8;GET_INDEXED;org.graalvm.compiler.nodes.GuardNode;2946
8;GET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;894
8;GET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;17192
8;GET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;57
8;GET_INDEXED;org.graalvm.compiler.nodes.MergeNode;4267
8;GET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;87
8;GET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;302
8;GET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;16804
8;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;2
8;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;23
8;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;91
8;GET_INDEXED;org.graalvm.compiler.nodes.BeginNode;10072
8;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;467670
9;SET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;369
9;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;320
9;SET_INDEXED;org.graalvm.collections.list.statistics.NoObject;3238
9;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRStartNode;26
9;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;242
9;SET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;1094
9;SET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;45815
9;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;1319
9;SET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;522
9;SET_INDEXED;org.graalvm.compiler.nodes.StartNode;19704
9;SET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;7684
9;SET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;879
9;SET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;11
9;SET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;95
9;SET_INDEXED;org.graalvm.compiler.nodes.FrameState;160939
9;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;1202
9;SET_INDEXED;org.graalvm.compiler.nodes.PiNode;24530
