Tracker;Allocation Sites
1;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotBackendFactory#createNativeABICallerSaveRegisters:203
2;org.graalvm.compiler.nodes.graphbuilderconf.InvocationPlugins#<init>:543
3;org.graalvm.compiler.phases.PhaseSuite#<init>:41
4;org.graalvm.compiler.core.target.Backend#<init>:76
5;org.graalvm.compiler.core.common.FieldsScanner#<init>:94
6;org.graalvm.compiler.graph.NodeClass$NodeFieldsScanner#<init>:447
7;org.graalvm.compiler.graph.NodeClass$NodeFieldsScanner#<init>:448
8;org.graalvm.compiler.graph.Graph#<init>:275
9;org.graalvm.compiler.graph.Graph#<init>:276
10;org.graalvm.compiler.nodes.StructuredGraph#<init>:321
11;org.graalvm.compiler.debug.KeyRegistry#<clinit>:36
12;org.graalvm.compiler.nodes.InliningLog$Callsite#<init>:105
13;org.graalvm.compiler.nodes.InliningLog$Callsite#<init>:106
14;org.graalvm.compiler.code.DataSection#<init>:228
15;org.graalvm.compiler.code.CompilationResult#<init>:181
16;org.graalvm.compiler.code.CompilationResult#<init>:182
17;org.graalvm.compiler.code.CompilationResult#<init>:183
18;org.graalvm.compiler.code.CompilationResult#<init>:184
19;org.graalvm.compiler.code.CompilationResult#<init>:185
20;org.graalvm.compiler.lir.phases.LIRPhaseSuite#<init>:39
21;org.graalvm.compiler.java.BciBlockMapping#<init>:694
22;org.graalvm.compiler.java.BciBlockMapping$BciBlock#<init>:178
23;org.graalvm.compiler.nodes.cfg.ControlFlowGraph#computeLoopInformation:588
24;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#scheduleEarliestIterative:867
25;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#applyEffects:142
26;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#applyEffects:143
27;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#run:192
28;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#sortNodesLatestWithinBlock:390
29;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#lambda$scheduleEarliestIterative$0:782
30;org.graalvm.compiler.loop.LoopsData#<init>:55
31;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#checkKillsBetween:313
32;org.graalvm.compiler.graph.iterators.NodeIterable#snapshot:44
