Tracker;Main Type
1;class jdk.vm.ci.code.Register
2;class org.graalvm.compiler.hotspot.meta.HotSpotGraphBuilderPlugins$1
3;class org.graalvm.compiler.java.GraphBuilderPhase
4;null
5;class org.graalvm.compiler.core.common.FieldsScanner$FieldInfo
6;class org.graalvm.compiler.graph.NodeClass$InputInfo
7;class org.graalvm.compiler.graph.NodeClass$EdgeInfo
8;class org.graalvm.collections.list.statistics.NoObject
9;class org.graalvm.collections.list.statistics.NoObject
10;class jdk.vm.ci.hotspot.HotSpotResolvedJavaMethodImpl
11;class org.graalvm.compiler.debug.TimerKeyImpl
12;null
13;null
14;class org.graalvm.compiler.hotspot.HotSpotDataBuilder$1
15;class jdk.vm.ci.code.site.Call
16;class org.graalvm.compiler.code.SourceMapping
17;class jdk.vm.ci.code.site.DataPatch
18;class jdk.vm.ci.code.site.ExceptionHandler
19;class jdk.vm.ci.code.site.Mark
20;class org.graalvm.compiler.lir.constopt.ConstantLoadOptimization
21;class org.graalvm.compiler.java.BciBlockMapping$BciBlock
22;class org.graalvm.compiler.java.BciBlockMapping$BciBlock
23;class org.graalvm.compiler.nodes.cfg.HIRLoop
24;class org.graalvm.compiler.nodes.StartNode
25;class org.graalvm.compiler.nodes.java.LoadFieldNode
26;class org.graalvm.compiler.virtual.phases.ea.GraphEffectList
27;class org.graalvm.compiler.nodes.calc.IntegerLessThanNode
28;class org.graalvm.compiler.nodes.ParameterNode
29;class org.graalvm.compiler.nodes.GuardNode
30;class org.graalvm.compiler.loop.LoopEx
31;class org.graalvm.compiler.nodes.cfg.Block
32;class org.graalvm.compiler.nodes.ValuePhiNode
33;class org.graalvm.compiler.nodes.EndNode
34;class org.graalvm.compiler.nodes.cfg.Block
35;class org.graalvm.compiler.nodes.cfg.Block
36;null
37;class org.graalvm.compiler.lir.framemap.SimpleVirtualStackSlot
38;class jdk.vm.ci.code.CallingConvention
39;class org.graalvm.compiler.hotspot.amd64.AMD64HotSpotReturnOp
40;class org.graalvm.compiler.core.common.FieldsScanner$FieldInfo
41;class org.graalvm.compiler.lir.LIRIntrospection$ValueFieldInfo
42;class org.graalvm.compiler.core.match.MatchStatement
43;class org.graalvm.compiler.lir.StandardOp$LabelOp
44;class org.graalvm.compiler.lir.ConstantValue
45;class org.graalvm.compiler.nodes.memory.ReadNode
46;class org.graalvm.compiler.lir.Variable
47;class org.graalvm.collections.list.statistics.NoObject
48;class org.graalvm.collections.list.statistics.NoObject
49;class jdk.vm.ci.meta.PrimitiveConstant
50;class org.graalvm.compiler.lir.alloc.lsra.Interval
51;class org.graalvm.compiler.lir.amd64.AMD64Move$MoveFromConstOp
52;class jdk.vm.ci.code.Register
53;class jdk.vm.ci.code.RegisterValue
54;class org.graalvm.collections.list.SpecifiedArrayList$SubList
55;class org.graalvm.compiler.code.CompilationResult$CodeComment
56;class java.lang.Integer
57;class org.graalvm.compiler.replacements.classfile.ClassfileBytecode
58;class org.graalvm.compiler.java.BytecodeParser$ReturnToCallerData
59;class org.graalvm.compiler.nodes.extended.JavaWriteNode
60;null
61;null
62;class org.graalvm.compiler.java.BciBlockMapping$BciBlock
63;class org.graalvm.compiler.nodes.cfg.Block
64;class org.graalvm.compiler.nodes.cfg.HIRLoop
65;class org.graalvm.compiler.nodes.cfg.Block
66;class org.graalvm.compiler.nodes.extended.OSRStartNode
67;class org.graalvm.compiler.nodes.FrameState
68;class org.graalvm.compiler.nodes.ConstantNode
69;class org.graalvm.compiler.nodes.ReturnNode
70;null
71;class org.graalvm.collections.list.statistics.NoObject
72;class org.graalvm.compiler.virtual.phases.ea.PEReadEliminationBlockState
73;class org.graalvm.compiler.virtual.phases.ea.PEReadEliminationBlockState
74;class org.graalvm.compiler.nodes.virtual.AllocatedObjectNode
75;class org.graalvm.collections.list.statistics.NoObject
76;class java.util.Collections$EmptyList
77;null
78;class java.lang.Boolean
79;class java.lang.Integer
80;null
81;class org.graalvm.compiler.hotspot.replacements.arraycopy.ArrayCopyCallNode
82;class org.graalvm.compiler.nodes.DeoptimizeNode
83;class org.graalvm.compiler.nodes.PiNode$Placeholder
84;class org.graalvm.compiler.phases.common.FloatingReadPhase$MemoryMapImpl
85;class org.graalvm.word.LocationIdentity$AnyLocationIdentity
86;class org.graalvm.compiler.nodes.ParameterNode
87;class org.graalvm.compiler.nodes.memory.MemoryMapNode
88;class org.graalvm.compiler.nodes.java.NewInstanceNode
89;class org.graalvm.compiler.nodes.EndNode
90;class org.graalvm.compiler.nodes.EndNode
91;class org.graalvm.compiler.nodes.LoopBeginNode
92;class org.graalvm.compiler.replacements.GraphKit$1
93;class org.graalvm.compiler.lir.alloc.lsra.Interval
94;class org.graalvm.compiler.lir.framemap.SimpleVirtualStackSlot
95;class org.graalvm.compiler.lir.constopt.UseEntry
96;class org.graalvm.compiler.lir.constopt.UseEntry
97;class org.graalvm.compiler.lir.constopt.UseEntry
98;null
99;class org.graalvm.compiler.nodes.cfg.Block
100;class org.graalvm.compiler.lir.alloc.lsra.Interval
101;class org.graalvm.compiler.nodes.memory.FloatingReadNode
102;class jdk.vm.ci.hotspot.HotSpotResolvedJavaMethodImpl
103;class java.lang.Double
104;class jdk.vm.ci.meta.JavaTypeProfile$ProfiledType
105;class java.lang.Integer
106;class org.graalvm.compiler.nodes.PiNode
107;null
108;class org.graalvm.compiler.nodes.NamedLocationIdentity
109;class org.graalvm.compiler.nodes.memory.FloatingReadNode
110;class org.graalvm.collections.list.statistics.NoObject
111;class org.graalvm.compiler.java.BciBlockMapping$BciBlock
112;class org.graalvm.compiler.nodes.IfNode
113;class jdk.vm.ci.code.StackSlot
114;class jdk.vm.ci.code.StackSlot
115;class org.graalvm.compiler.lir.asm.CompilationResultBuilder$ExceptionInfo
116;class org.graalvm.compiler.virtual.phases.ea.PEReadEliminationBlockState
