Tracker;Operation on;Type;Occurrences
9;SET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;1594
9;GET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;16765
9;GET_INDEXED;org.graalvm.compiler.nodes.BeginNode;47835
9;GET_INDEXED;org.graalvm.compiler.nodes.StartNode;36930
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;76
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;58
9;GET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;841
9;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;3947
9;GET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;139
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;6
9;GET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;103437
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;760
9;GET_INDEXED;org.graalvm.compiler.nodes.MergeNode;26698
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;53835
9;GET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;66318
9;GET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;4949
9;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;86
9;GET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;1818
9;GET_INDEXED;org.graalvm.collections.list.statistics.NoObject;478050
9;GET_INDEXED;org.graalvm.compiler.nodes.FrameState;30415
9;GET_INDEXED;org.graalvm.compiler.nodes.GuardNode;16320
9;GET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;125
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;28
9;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;1555782
10;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;405216
10;SET_INDEXED;org.graalvm.compiler.nodes.StartNode;81996
10;SET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;7191
10;SET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;7920
10;SET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;454
10;SET_INDEXED;org.graalvm.compiler.nodes.MergeNode;89540
10;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;410
10;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;206
10;SET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;12427
10;SET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;45293
10;SET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;10
10;SET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;31533
10;SET_INDEXED;org.graalvm.collections.list.statistics.NoObject;9678
10;SET_INDEXED;org.graalvm.compiler.nodes.FrameState;508215
10;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;112
10;SET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;31155
10;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;2791
10;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;100
10;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;112179
10;SET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;187945
10;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;2746
10;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;2741
10;SET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;99
10;SET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;160905
10;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;2583
10;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;187135
10;SET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;435
10;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;177859
10;SET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;171805
10;SET_INDEXED;org.graalvm.compiler.nodes.DynamicPiNode;150
10;SET_INDEXED;org.graalvm.compiler.nodes.PiNode;160109
10;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;755
10;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;2717
10;SET_INDEXED;org.graalvm.compiler.nodes.GuardNode;44470
10;SET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;4134
10;SET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;3215
10;GET_INDEXED;org.graalvm.compiler.nodes.BeginNode;351873
10;GET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;6116
10;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;5971
10;GET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;252
10;GET_INDEXED;org.graalvm.compiler.nodes.MergeNode;57645
10;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;321
10;GET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;128
10;GET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;39836
10;GET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;4350
10;GET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;30128
10;GET_INDEXED;org.graalvm.collections.list.statistics.NoObject;572443
10;GET_INDEXED;org.graalvm.compiler.nodes.FrameState;421932
10;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;72
10;GET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;23348
